"rank","city","state","pop_2015","pop_2010","land_area","latitude","longitude"
102,"Birmingham","Alabama",212461,212237,378.3,"33.5274","-86.7990"
103,"Modesto","California",211266,201165,95.5,"37.6609","-120.9891"
104,"Des Moines","Iowa",210330,203433,209.5,"41.5739","-93.6167"
105,"Rochester","New York",209802,210565,92.7,"43.1699","-77.6169"
106,"Tacoma","Washington",207948,198397,128.8,"47.2522","-122.4598"
107,"Fontana","California",207460,196069,109.9,"34.1088","-117.4627"
108,"Oxnard","California",207254,197899,69.7,"34.2023","-119.2046"
109,"Moreno Valley","California",204198,193365,132.8,"33.9233","-117.2057"
110,"Fayetteville","North Carolina",201963,200564,377.7,"35.0851","-78.9803"
111,"Huntington Beach","California",201899,189992,69.3,"33.6906","-118.0093"
112,"Yonkers","New York",201116,195976,46.7,"40.9459","-73.8674"
113,"Glendale","California",201020,191719,78.9,"34.1814","-118.2458"
114,"Aurora","Illinois",200661,197899,116.4,"41.7635","-88.2901"
115,"Montgomery","Alabama",200602,205764,413.3,"32.3463","-86.2686"
116,"Columbus","Georgia",200579,189885,560.4,"32.5102","-84.8749"
117,"Amarillo","Texas",198645,190695,257.6,"35.1978","-101.8287"
118,"Little Rock","Arkansas",197992,193524,308.7,"34.7254","-92.3586"
119,"Akron","Ohio",197542,199110,160.7,"41.0805","-81.5214"
120,"Shreveport","Louisiana",197204,199311,272.9,"32.4670","-93.7927"
121,"Augusta","Georgia",197182,195844,783.4,"33.3655","-82.0734"
122,"Grand Rapids","Michigan",195097,188040,115,"42.9612","-85.6556"
123,"Mobile","Alabama",194288,195111,360.3,"30.6684","-88.1002"
124,"Salt Lake City","Utah",192672,186440,287.8,"40.7785","-111.9314"
125,"Huntsville","Alabama",190582,180105,541.4,"34.7843","-86.5390"
126,"Tallahassee","Florida",189907,181376,259.6,"30.4551","-84.2534"
127,"Grand Prairie","Texas",187809,175396,186.8,"32.6842","-97.0210"
128,"Overland Park","Kansas",186515,173372,193.8,"38.8890","-94.6906"
129,"Knoxville","Tennessee",185291,178874,255.2,"35.9709","-83.9465"
130,"Worcester","Massachusetts",184815,181045,96.8,"42.2695","-71.8078"
131,"Brownsville","Texas",183887,175023,342.7,"26.0183","-97.4538"
132,"Newport News","Virginia",182385,180719,178,"37.0760","-76.5217"
133,"Santa Clarita","California",182371,176320,136.5,"34.4049","-118.5047"
134,"Port St. Lucie","Florida",179413,164603,295.1,"27.2810","-80.3838"
135,"Providence","Rhode Island",179207,178042,47.7,"41.8231","-71.4188"
136,"Fort Lauderdale","Florida",178590,165521,90,"26.1413","-80.1439"
137,"Chattanooga","Tennessee",176588,167674,355.2,"35.0665","-85.2471"
138,"Tempe","Arizona",175826,161719,103.4,"33.3884","-111.9318"
139,"Oceanside","California",175691,167086,106.8,"33.2246","-117.3062"
140,"Garden Grove","California",175393,170883,46.5,"33.7788","-117.9605"
141,"Rancho Cucamonga","California",175236,165269,103.2,"34.1233","-117.5642"
142,"Cape Coral","Florida",175229,154305,273.7,"26.6431","-81.9973"
143,"Santa Rosa","California",174972,167815,107,"38.4468","-122.7061"
144,"Vancouver","Washington",172860,161791,120.3,"45.6372","-122.5965"
145,"Sioux Falls","South Dakota",171544,153888,189,"43.5383","-96.7320"
146,"Peoria","Arizona",171237,154065,451.7,"33.7877","-112.3111"
147,"Ontario","California",171214,163924,129.3,"34.0395","-117.6088"
148,"Jackson","Mississippi",170674,173514,287.6,"32.3158","-90.2128"
149,"Elk Grove","California",166913,153015,109.3,"38.4144","-121.3849"
150,"Springfield","Missouri",166810,159498,211.7,"37.1942","-93.2913"
151,"Pembroke Pines","Florida",166611,154019,85.8,"26.0212","-80.3404"
152,"Salem","Oregon",164549,154637,124,"44.9237","-123.0231"
153,"Corona","California",164226,152374,100.6,"33.8624","-117.5639"
154,"Eugene","Oregon",163460,156185,113.2,"44.0567","-123.1162"
155,"McKinney","Texas",162898,131117,161.1,"33.2012","-96.6680"
156,"Fort Collins","Colorado",161175,143986,140.6,"40.5482","-105.0648"
157,"Lancaster","California",161103,156633,244.2,"34.6936","-118.1753"
158,"Cary","North Carolina",159769,135234,140.8,"35.7821","-78.8141"
159,"Palmdale","California",158351,152750,274.4,"34.5913","-118.1090"
160,"Hayward","California",158289,144186,117.4,"37.6281","-122.1063"
161,"Salinas","California",157380,150441,60,"36.6902","-121.6337"
162,"Frisco","Texas",154407,116989,160.1,"33.1510","-96.8193"
163,"Springfield","Massachusetts",154341,153060,82.5,"42.1155","-72.5400"
164,"Pasadena","Texas",153784,149043,110.8,"29.6583","-95.1505"
165,"Macon","Georgia",153515,91351,661,"32.505","-83.396"
166,"Alexandria","Virginia",153511,139966,38.9,"38.8183","-77.0820"
167,"Pomona","California",153266,149058,59.4,"34.0586","-117.7613"
168,"Lakewood","Colorado",152597,142980,111.1,"39.6989","-105.1176"
169,"Sunnyvale","California",151754,140081,56.9,"37.3858","-122.0263"
170,"Escondido","California",151451,143911,95.3,"33.1336","-117.0732"
171,"Kansas City","Kansas",151306,145786,323.3,"39.1225","-94.7418"
172,"Hollywood","Florida",149728,140768,70.9,"26.0311","-80.1646"
173,"Clarksville","Tennessee",149176,132929,252.8,"36.5664","-87.3452"
174,"Torrance","California",148475,145438,53,"33.8350","-118.3414"
175,"Rockford","Illinois",148278,152871,158.2,"42.2634","-89.0628"
176,"Joliet","Illinois",147861,147433,160.9,"41.5181","-88.1584"
177,"Paterson","New Jersey",147754,146199,21.8,"40.9147","-74.1628"
178,"Bridgeport","Connecticut",147629,144229,41.4,"41.1874","-73.1957"
179,"Naperville","Illinois",147100,141853,100.4,"41.7492","-88.1620"
180,"Savannah","Georgia",145674,136286,267.2,"32.0025","-81.1536"
181,"Mesquite","Texas",144788,139824,119.2,"32.7639","-96.5924"
182,"Syracuse","New York",144142,145170,64.9,"43.0410","-76.1436"
183,"Pasadena","California",142250,137122,59.5,"34.1606","-118.1396"
184,"Orange","California",140992,136416,64.2,"33.8048","-117.8249"
185,"Fullerton","California",140847,135161,57.9,"33.8857","-117.9280"
186,"Killeen","Texas",140806,127921,138.8,"31.0777","-97.7320"
187,"Dayton","Ohio",140599,141527,144.1,"39.7774","-84.1996"
188,"McAllen","Texas",140269,129877,125.2,"26.2185","-98.2461"
189,"Bellevue","Washington",139820,122363,82.8,"47.5978","-122.1565"
190,"Miramar","Florida",137132,122041,76.5,"25.9770","-80.3358"
191,"Hampton","Virginia",136454,137436,133.2,"37.0480","-76.2971"
192,"West Valley City","Utah",136208,129480,92.1,"40.6885","-112.0118"
193,"Warren","Michigan",135358,134056,89,"42.4929","-83.0250"
194,"Olathe","Kansas",134305,125872,154.5,"38.8843","-94.8188"
195,"Columbia","South Carolina",133803,129272,342.4,"34.0298","-80.8966"
196,"Thornton","Colorado",133451,118772,90.2,"39.9180","-104.9454"
197,"Carrollton","Texas",133168,119097,94,"32.9884","-96.8998"
198,"Midland","Texas",132950,111147,186.7,"32.0299","-102.1097"
199,"Charleston","South Carolina",132609,120083,282.3,"32.8179","-79.9589"
200,"Waco","Texas",132356,124805,230.4,"31.5601","-97.1860"
201,"Sterling Heights","Michigan",132052,129699,94.5,"42.5812","-83.0303"
202,"Denton","Texas",131044,113383,227.8,"33.2151","-97.1417"
203,"Cedar Rapids","Iowa",130405,126326,183.4,"41.9670","-91.6778"
204,"New Haven","Connecticut",130322,129779,48.4,"41.3108","-72.9250"
205,"Roseville","California",130269,118788,93.8,"38.7657","-121.3032"
206,"Gainesville","Florida",130128,124354,158.8,"29.6788","-82.3459"
207,"Visalia","California",130104,124442,93.9,"36.3272","-119.3234"
208,"Coral Springs","Florida",129485,121096,61.6,"26.2708","-80.2593"
209,"Thousand Oaks","California",129339,126683,142.5,"34.1933","-118.8742"
210,"Elizabeth","New Jersey",129007,124969,31.9,"40.6663","-74.1935"
211,"Stamford","Connecticut",128874,122643,97.5,"41.0799","-73.5460"
212,"Concord","California",128667,122067,79.1,"37.9722","-122.0016"
213,"Surprise","Arizona",128422,117517,273.9,"33.6706","-112.4527"
214,"Lafayette","Louisiana",127657,120623,127.5,"30.2116","-92.0314"
215,"Topeka","Kansas",127265,127473,155.8,"39.0362","-95.6948"
216,"Kent","Washington",126952,92411,74.1,"47.3853","-122.2169"
217,"Simi Valley","California",126788,124237,107.4,"34.2669","-118.7485"
218,"Santa Clara","California",126215,116468,47.7,"37.3646","-121.9679"
219,"Murfreesboro","Tennessee",126118,108755,143.3,"35.8522","-86.4161"
220,"Hartford","Connecticut",124006,124775,45,"41.7660","-72.6833"
221,"Athens","Georgia",122604,115452,301.4,"33.9496","-83.3701"
222,"Victorville","California",122225,115903,189.5,"34.5277","-117.3536"
223,"Abilene","Texas",121721,117063,276.6,"32.4545","-99.7381"
224,"Vallejo","California",121253,115942,79.4,"38.1079","-122.2639"
225,"Berkeley","California",120972,112580,27.1,"37.8667","-122.2991"
226,"Norman","Oklahoma",120284,110925,463,"35.22","-97.44"
227,"Allentown","Pennsylvania",120207,118032,45.4,"40.5940","-75.4782"
228,"Evansville","Indiana",119943,117429,114.4,"37.9877","-87.5347"
229,"Columbia","Missouri",119108,108500,163.4,"38.9479","-92.3261"
230,"Odessa","Texas",118968,99940,108.7,"31.8804","-102.3434"
231,"Fargo","North Dakota",118523,105549,126.4,"46.8652","-96.8290"
232,"Beaumont","Texas",118129,118296,214.5,"30.0843","-94.1458"
233,"Independence","Missouri",117255,116830,200.9,"39.0853","-94.3513"
234,"Ann Arbor","Michigan",117070,113934,72.1,"42.2756","-83.7313"
235,"El Monte","California",116732,113475,24.8,"34.0746","-118.0291"
236,"Springfield","Illinois",116565,116250,154.1,"39.7639","-89.6708"
237,"Round Rock","Texas",115997,99887,88.4,"30.5237","-97.6674"
238,"Wilmington","North Carolina",115933,106476,133.4,"34.2092","-77.8858"
239,"Arvada","Colorado",115368,106433,91,"39.8097","-105.1066"
240,"Provo","Utah",115264,112488,107.9,"40.2453","-111.6448"
241,"Peoria","Illinois",115070,115007,124.3,"40.7523","-89.6171"
242,"Lansing","Michigan",115056,114297,93.4,"42.7098","-84.5562"
243,"Downey","California",114219,111772,32.1,"33.9382","-118.1309"
244,"Carlsbad","California",113453,105328,97.7,"33.1239","-117.2828"
245,"Costa Mesa","California",113204,109960,40.5,"33.6659","-117.9123"
246,"Miami Gardens","Florida",113187,107167,47.2,"25.9489","-80.2436"
247,"Westminster","Colorado",113130,106114,81.7,"39.8822","-105.0644"
248,"Clearwater","Florida",113003,107685,66.2,"27.9795","-82.7663"
249,"Fairfield","California",112970,105321,96.8,"38.2568","-122.0397"
250,"Rochester","Minnesota",112225,106769,141.4,"44.0154","-92.4772"
251,"Elgin","Illinois",112111,108188,96.3,"42.0396","-88.3217"
252,"Temecula","California",112011,100097,78.1,"33.5019","-117.1246"
253,"West Jordan","Utah",111946,103712,84.1,"40.6023","-112.0010"
254,"Inglewood","California",111666,109673,23.5,"33.9561","-118.3443"
255,"Richardson","Texas",110815,99223,74,"32.9723","-96.7081"
256,"Lowell","Massachusetts",110699,106519,35.2,"42.6389","-71.3221"
257,"Gresham","Oregon",110553,105594,60.1,"45.5023","-122.4416"
258,"Antioch","California",110542,102372,73.4,"37.9775","-121.7976"
259,"Cambridge","Massachusetts",110402,105162,16.5,"42.3760","-71.1183"
260,"High Point","North Carolina",110268,104371,139.3,"35.9855","-79.9902"
261,"Billings","Montana",110263,104170,112.4,"45.7895","-108.5499"
262,"Manchester","New Hampshire",110229,109565,85.7,"42.9847","-71.4439"
263,"Murrieta","California",109830,103466,87,"33.5719","-117.1907"
264,"Centennial","Colorado",109741,100377,74.4,"39.5906","-104.8691"
265,"Richmond","California",109708,103701,77.9,"37.9530","-122.3594"
266,"Ventura","California",109708,106433,56.1,"34.2681","-119.2550"
267,"Pueblo","Colorado",109412,106595,138.9,"38.2731","-104.6124"
268,"Pearland","Texas",108821,91252,122.9,"29.5544","-95.2958"
269,"Waterbury","Connecticut",108802,110366,73.9,"41.5585","-73.0367"
270,"West Covina","California",108484,106098,41.5,"34.0559","-117.9099"
271,"North Charleston","South Carolina",108304,97471,119.5,"32.8853","-80.0169"
272,"Everett","Washington",108010,103019,86.6,"48.0033","-122.1742"
273,"College Station","Texas",107889,93857,128.5,"30.6013","-96.3144"
274,"Palm Bay","Florida",107888,103190,170.2,"27.9856","-80.6626"
275,"Pompano Beach","Florida",107762,99845,62.2,"26.2426","-80.1290"
276,"Boulder","Colorado",107349,97385,66.5,"40.0175","-105.2797"
277,"Norwalk","California",107140,105549,25.1,"33.9069","-118.0834"
278,"West Palm Beach","Florida",106779,99919,143.2,"26.7483","-80.1266"
279,"Broken Arrow","Oklahoma",106563,98850,159.5,"36.0365","-95.7810"
280,"Daly City","California",106562,101123,19.8,"37.7009","-122.4650"
281,"Sandy Springs","Georgia",105330,93853,101,"33.5615","-84.227"
282,"Burbank","California",105319,103340,44.9,"34.1890","-118.3249"
283,"Green Bay","Wisconsin",105207,104057,117.8,"44.5207","-87.9842"
284,"Santa Maria","California",105093,99553,58.9,"34.9332","-120.4438"
285,"Wichita Falls","Texas",104710,104553,186.8,"33.9067","-98.5259"
286,"Lakeland","Florida",104401,97422,193,"28.0411","-81.9589"
287,"Clovis","California",104180,95631,60.3,"36.4931","-119.4211"
288,"Lewisville","Texas",104039,95290,110,"33.0383","-97.0061"
289,"Tyler","Texas",103700,96900,140.8,"32.35","-95.30"
290,"El Cajon","California",103679,99478,37.4,"32.8017","-116.9605"
291,"San Mateo","California",103536,97207,41.1,"37.5542","-122.3131"
292,"Rialto","California",103132,99171,57.9,"34.1118","-117.3883"
293,"Edison","New Jersey",102701,99967,79.4,"40.5040","-74.3494"
294,"Davenport","Iowa",102582,99685,163,"41.5541","-90.6040"
295,"Hillsboro","Oregon",102347,91611,62.8,"45.5167","-122.9833"
296,"Woodbridge","New Jersey",102105,99585,63.5,"40.5608","-74.2926"
297,"Las Cruces","New Mexico",101643,97618,197.6,"32.3197","-106.7653"
298,"South Bend","Indiana",101516,101168,107.4,"41.6769","-86.2690"
299,"Vista","California",100890,93834,48.4,"33.1936","-117.2411"
300,"Greeley","Colorado",100883,92889,77.7,"40.4167","-104.7167"
301,"Davie","Florida",100882,91992,92.5,"26.0814","-80.2803"
302,"San Angelo","Texas",100450,93200,150.9,"31.45","-100.45"
303,"Jurupa Valley","California",100314,0,112.7,"33.0011","-117.4706"
304,"Renton","Washington",100242,90927,61,"47.4867","-122.1953"
